"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status","Upload Status"
"garibaldi-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4000-TV-WB-2.jpg?v=1773920438","2","garibaldi-tv-stand","","","","","","","","active",""
"garibaldi-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4000-TV-WB-3.jpg?v=1773920438","3","garibaldi-tv-stand","","","","","","","","active",""
"garibaldi-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4000-TV-WB-4_4c57245f-16ba-4b6a-8ec6-e2b8bc1097fe.jpg?v=1773920438","4","garibaldi-tv-stand","","","","","","","","active",""
"garibaldi-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4000-TV-WB-5_59835fd4-aa9f-4630-9a2a-b54f870ec266.jpg?v=1773920438","5","garibaldi-tv-stand","","","","","","","","active",""
"orbe-3-pc-table-set-occasional-set","ORBE 3 Pc. Table Set Occasional Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with ORBE 3 Pc. Table Set and its Contemporary character. This living occasional set is made to fit naturally into the room. Finished in Espresso tones, the Tempered Glass, Solid Wood, Wood Veneer, build balances durability with visual appeal.<br>
Product Dimensions: 38""DIA X 19H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Tempered Glass, Solid Wood, Wood Veneer.<br>
Color: Espresso<br>
Weight: 154 lbs</p>","GOODDEGG","","Occasional Set","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Occasional Set, ORBE, Quick Ship Furniture","true","Title","Default Title","","","","","","","","CM4006-3PK-SET","69852.998183815","shopify","20","deny","manual","627.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4006-3PK_5ffa5382-63fa-450b-beac-d61c28473095.jpg?v=1773920437","1","orbe-3-pc-table-set-occasional-set","false","ORBE 3 Pc. Table Set Occasional Set","Shop ORBE 3 Pc. Table Set Occasional Set. Contemporary style. Tempered Glass, Solid Wood build. Color: Espresso. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4006-3PK_5ffa5382-63fa-450b-beac-d61c28473095.jpg?v=1773920437","lb","","259.00","active",""
"olbia-3-pc-coffee-table-set-occasional-set","OLBIA 3 Pc. Coffee Table Set Occasional Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with OLBIA 3 Pc. Coffee Table Set, styled in Industrial and designed for everyday comfort. As a living occasional set, it is designed to complement your space. With Steel, Paper Veneer, and Rustic Oak or Sand Black tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: COFFEE TABLE: 47 1/4""L X 23 5/8""W X 18""H, END TABLE: 23 5/8""DIA X 22""H</p>

<p>Materials: Steel, Paper Veneer.<br>
Color: Rustic Oak or Sand Black<br>
Weight: 91.1 lbs</p>","GOODDEGG","","Occasional Set","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Occasional Set, OLBIA, Quick Ship Furniture","true","Title","Default Title","","","","","","","","CM4199A-3PK","41321.992751578","shopify","20","deny","manual","537.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4199A-3PK-1_5ee65094-0238-40d3-b8af-ce20579ca10a.jpg?v=1773920437","1","olbia-3-pc-coffee-table-set-occasional-set","false","OLBIA 3 Pc. Coffee Table Set Occasional Set","Shop OLBIA 3 Pc. Coffee Table Set Occasional Set. Industrial style. Steel, Paper Veneer build. Color: Rustic Oak/Sand Black. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4199A-3PK-1_5ee65094-0238-40d3-b8af-ce20579ca10a.jpg?v=1773920437","lb","","179.00","active",""
"olbia-3-pc-coffee-table-set-occasional-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4199A-3PK-2_a5d08e22-cd88-4e9f-85f5-708bf47752b2.jpg?v=1773920436","2","olbia-3-pc-coffee-table-set-occasional-set","","","","","","","","active",""
"olbia-3-pc-coffee-table-set-occasional-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4199A-3PK-3_8c320341-f784-4bf5-aa79-2a394dde1b2a.jpg?v=1773920437","3","olbia-3-pc-coffee-table-set-occasional-set","","","","","","","","active",""
"monango-3-pc-table-set-occasional-set","MONANGO 3 Pc. Table Set Occasional Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
MONANGO 3 Pc. Table Set adds a Rustic touch while keeping the room feeling warm and welcoming. As a living occasional set, it is designed to complement your space. Crafted from Solid Wood, Wood Veneer, it is finished in Weathered Gray tones that pair easily with surrounding decor.<br>
Product Dimensions: COFFEE TABLE: 46 1/8""L X 23""W X 19 1/8""H, END TABLE: 20 7/8""L X 20 7/8""W X 23 7/8""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Solid Wood, Wood Veneer.<br>
Color: Weathered Gray<br>
Weight: 107 lbs</p>","GOODDEGG","","Occasional Set","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, MONANGO, New Arrival, Occasional Set, Quick Ship Furniture","true","Title","Default Title","","","","","","","","CM4540-3PK","48534.020716104","shopify","20","deny","manual","567.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4540-3PK-1-Z_04cfd589-4775-48a7-ab97-6add88d0d2a3.jpg?v=1773920436","1","monango-3-pc-table-set-occasional-set","false","MONANGO 3 Pc. Table Set Occasional Set","Shop MONANGO 3 Pc. Table Set Occasional Set. Rustic style. Solid Wood, Wood Veneer build. Color: Weathered Gray. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4540-3PK-1-Z_04cfd589-4775-48a7-ab97-6add88d0d2a3.jpg?v=1773920436","lb","","209.00","active",""
"monango-3-pc-table-set-occasional-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM4540-2_a0ee43ef-a5e4-4d4b-b6c9-04e4ac902820.jpg?v=1773920436","2","monango-3-pc-table-set-occasional-set","","","","","","","","active",""
