Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-4.jpg,5,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-5.jpg,6,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-6.jpg,7,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-7.jpg,8,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
cove-nesting-tables-2-ctn,COVE Nesting Tables (2 / CTN),"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with COVE Nesting Tables (2 / CTN) and its Contemporary character. As a outdoor table, it is designed to complement your space. Finished in Natural or Black tones, the Metal, Solid Wood build balances durability with visual appeal.<br>
Product Dimensions: 15.5""W X 15.5""D X 15.5""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Metal, Solid Wood.<br>
Color: Natural or Black<br>
Weight: 14.55 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, COVE, LIVING ROOM FURNITURE",TRUE,Color,Natural/Black,,,,,,,,GM-5014-2PK,6600,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,GM-5014-2PK-WB-1.jpg,1,cove-nesting-tables-2-ctn,FALSE,COVE Nesting Tables (2 / CTN),"Shop COVE Nesting Tables (2 / CTN). Contemporary style. Metal, Solid Wood build. Color: Natural/Black. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-5014-2PK-WB-1.jpg,lb,,49,active
lovina-oval-dining-table,LOVINA Oval Dining Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with LOVINA Oval Dining Table and its Transitional character. As a outdoor table, it is designed to complement your space. Finished in Natural tones, the Teak Wood build balances durability with visual appeal.<br>
Product Dimensions: 78.5""W X 47""D X 29.5""H</p>

<p>Materials: Teak Wood.<br>
Color: Natural<br>
Weight: 141 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, LOVINA, LIVING ROOM FURNITURE",TRUE,Color,Natural,,,,,,,,GM-2031-PK,63957,shopify,20,deny,manual,1437,,TRUE,FALSE,,,,,,GM-2031-WB-1.jpg,1,lovina-oval-dining-table,FALSE,LOVINA Oval Dining Table,Shop LOVINA Oval Dining Table. Transitional style. Teak Wood build. Color: Natural. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2031-WB-1.jpg,lb,,559,active
lovina-oval-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2031-2037-PK-1-Z.jpg,2,lovina-oval-dining-table,,,,,,,,
lyon-game-table,LYON Game Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with LYON Game Table, styled in Contemporary and designed for everyday comfort. Built as a outdoor table, it pairs well with a wide range of interiors. With Aluminum, Outdoor Fabric and Black or Natural or Brown tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 50.5""DIA X 29.5""H</p>

<p>Materials: Aluminum, Outdoor Fabric.<br>
Color: Black or Natural or Brown<br>
Weight: 83.33 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, LYON, LIVING ROOM FURNITURE",TRUE,Color,Black/Natural/Brown,,,,,,,,GM-2018,37798,shopify,20,deny,manual,1797,,TRUE,FALSE,,,,,,GM-2018-WB-1.jpg,1,lyon-game-table,FALSE,LYON Game Table,"Shop LYON Game Table. Contemporary style. Aluminum, Outdoor Fabric build. Color: Black/Natural/Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2018-WB-1.jpg,lb,,629,active
lyon-game-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2018-WB-3.jpg,2,lyon-game-table,,,,,,,,
lyon-game-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2018-WB-2.jpg,3,lyon-game-table,,,,,,,,
