Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alison-bed,,,,,,,,,E.King,,,,,,,,CM7416GY-EK-BED,57606,shopify,20,deny,manual,957,,TRUE,FALSE,,,,,,,3,alison-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7416GY-1-Z.jpg,lb,,369,
alison-bed,,,,,,,,,Cal.King,,,,,,,,CM7416GY-CK-BED,60464,shopify,20,deny,manual,957,,TRUE,FALSE,,,,,,,4,alison-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7416GY-1-Z.jpg,lb,,369,
alyson-bed,alyson bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALYSON, styled in Transitional and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Solid Wood, Wood Veneer, Engineered Wood and Distressed White/Walnut tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Queen, E.King, Cal.King</p>

<p>Features<br>
- Solid Wood<br>
- Wood Veneer<br>
- Engineered Wood<br>
- Plank Design<br>
- Arched Headboard<br>
- Metal Drawer Pulls<br>
- Felt-lined Top Drawer<br>
- Arched Mirror<br>
- Hidden Jewelry Drawer in Night Stand<br>
- USB Charger In Night Stand<br>
<strong>Variant Details</strong><br>
- <strong>Size: Queen | Color: Distressed White/Walnut | Dimensions: 86 5/8&quot;L X 65 3/8&quot;W X 60&quot;H | Weight: 132 lbs | Volume: 15.9 cuft</strong><br>
- <strong>Size: E.King | Color: Distressed White/Walnut | Dimensions: 86 5/8&quot;L X 81 3/8&quot;W X 60&quot;H | Weight: 154.4 lbs | Volume: 18.9 cuft</strong><br>
- <strong>Size: Cal.King | Color: Distressed White/Walnut | Dimensions: 90 5/8&quot;L X 81 3/8&quot;W X 60&quot;H | Weight: 162.8 lbs | Volume: 19.6 cuft</strong><br>
</p>

<p>Materials: Solid Wood, Wood Veneer, Engineered Wood.<br>
Color: Distressed White/Walnut<br>
Weight: 132 - 162.8 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALYSON, BEDROOM FURNITURE",TRUE,Size,Queen,,,,,,,,CM7962Q-BED,59874,shopify,20,deny,manual,867,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-1-c.jpg,1,alyson-bed,FALSE,alyson bed,"Shop alyson bed. Transitional style. Solid Wood, Wood Veneer build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-1-c.jpg,lb,,329,active
alyson-bed,,,,,,,,,E.King,,,,,,,,CM7962EK-BED,70035,shopify,20,deny,manual,1017,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-1.jpg,2,alyson-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-1-c.jpg,lb,,389,
alyson-bed,,,,,,,,,Cal.King,,,,,,,,CM7962CK-BED,73845,shopify,20,deny,manual,1017,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-2.jpg,3,alyson-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-1-c.jpg,lb,,389,
alyson-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7962-3.jpg,4,alyson-bed,,,,,,,,
alzir-bed,alzir bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALZIR, styled in Glam and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Velvet-like Fabric, Solid Wood, Others and Black or Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Cal.King, E.King, Queen</p>

<p>Features<br>
- Velvet-like Fabric<br>
- Solid Wood<br>
- Others<br>
- Fully Upholstered Frame<br>
- Wingback Headboard<br>
- Button Tufted H/B and F/B<br>
- Crystal-Like Acrylic Buttons<br>
- Nailhead Trim<br>
- Cabriole Legs<br>
- Slat Kit Included<br>
<strong>Variant Details</strong><br>
- <strong>Size: Cal.King | Color: Black | Dimensions: 92 1/2&quot;L X 102&quot;W X 66&quot;H | Weight: 282.7 lbs | Volume: 35.1 cuft</strong><br>
- <strong>Size: Cal.King | Color: Gray | Dimensions: 92 1/2&quot;L X 99 1/2&quot;W X 66&quot;H | Weight: 282.7 lbs | Volume: 35.1 cuft</strong><br>
- <strong>Size: E.King | Color: Black | Dimensions: 88 1/8&quot;L X 102&quot;W X 66&quot;H | Weight: 334.76 lbs | Volume: 34.4 cuft</strong><br>
- <strong>Size: E.King | Color: Gray | Dimensions: 88 1/8&quot;L X 103 1/2&quot;W X 66&quot;H | Weight: 333.08 lbs | Volume: 35.6 cuft</strong><br>
- <strong>Size: Queen | Color: Black | Dimensions: 88 1/8&quot;L X 86&quot;W X 66&quot;H | Weight: 238.64 lbs | Volume: 33 cuft</strong><br>
- <strong>Size: Queen | Color: Gray | Dimensions: 88 1/8&quot;L X 87 1/2&quot;W X 66&quot;H | Weight: 298.1 lbs | Volume: 34.4 cuft</strong><br>
</p>

<p>Materials: Velvet-like Fabric, Solid Wood, Others.<br>
Color: Black or Gray<br>
Weight: 238.64 - 334.76 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALZIR, BEDROOM FURNITURE",TRUE,Size,Cal.King,,Color,Black,,,,,CM7150BK-CK-BED,128231,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150BK-Z.jpg,1,alzir-bed,FALSE,alzir bed,"Shop alzir bed. Glam style. Velvet-like Fabric, Solid Wood build. Multiple sizes and colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150BK-Z.jpg,lb,,559,active
alzir-bed,,,,,,,,,Cal.King,,,Gray,,,,,CM7150CK-BED,128231,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150BK-1.jpg,2,alzir-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150-1-Z.jpg,lb,,559,
alzir-bed,,,,,,,,,E.King,,,Black,,,,,CM7150BK-EK-BED,151845,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150-1-Z.jpg,3,alzir-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150BK-Z.jpg,lb,,559,
alzir-bed,,,,,,,,,E.King,,,Gray,,,,,CM7150EK-BED,151083,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150-1.jpg,4,alzir-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7150-1-Z.jpg,lb,,559,
